棚ID,棚位置,タイトル,巻数,出版元,出版年,欠番
5,2,日本情報考古学会 発表要旨,8~9、11~12,日本情報考古学会,1999~2001,
5,6,信濃史学会誌 信濃総索引,,信濃史学会,1967,
5,6,信濃史学会誌 増補 信濃総索引,,信濃史学会,1976,
5,2,信濃考古,赤ファイル/14、16、24、28、30〜35、37~38、41〜58(49・50と52・53一緒)、緑ファイル/50~100,長野県考古学会,1965~1987,
5,2,信濃,第1次(1932~1938)/1~5巻(1~12号一緒)、6(1~12)~7(1~7)巻一緒、第2次(1942~/17年(1~12)、18・19年(18-1~19-12)、20~22年(20-1~22-3),信濃史学会,1932〜2007,復刻12-4と7、13-1
5,2,信濃,第2次復刻(1949~信濃郷土研究會)/1-5月〜12月、2-1~12月、3-1~12(2と3一緒、号になる)4-1~12(4~6、7~8一緒)、5〜6-1~12(11~12一緒)、7~11-1~12、12-1~4・6・8~12(11と12一緒)、13-2~12、14-1~12、15-1~12(8と9一緒)、16~23-1~12(多分)、,信濃史学会,1932〜2007,
5,2,信濃,ここから上下巻(6号ずつ)/24~35(28、29会員名簿あり)、36-1~6(バラバラ)・7~12(カバー)、37-1~3・5(バラバラ)・7~12(カバー)、38-1~6(カバー)・7~12(バラバラ)、39-1~6・8~12(バラバラ)、40~48、49(4と5一緒)、50~56、58-3・11~12(バラバラ）、59-3,信濃史学会,1932〜2007,37の4、39の7、57-1~12、58-1~2・4~10、59-1~2・4~12、それ以降
6,1,東京人類學會雜誌/人類學雜誌,47~55(48巻附錄三、49巻付録五収録)、46附録十、50附録十五、ここから日本人類学会1941/56~68(57・58、60~61、63~64、65~66、67~68一緒)、71-4(バラ)、72〜100(72・73、74・75、76・77一緒),東京人類學會,,71巻(4を除き)
6,3,会員名簿,,日本人類学会,1994,
6,3,東京人類學會雜誌/人類學雜誌/Anthropological science◎,Anthropological science (人類學雜誌)/101~111(ハードカバー)、112~128-1~3(バラ)、129~130-1~2、131-1(最新)、(Japanese Seriesバラ)/112~118-1~2、119-2、120~130-1~2　継続中,東京人類學會,1993~,JSの119-1
6,4,先史学研究,5,同志社大学先史学研究会,1959~1965,
6,4,先史考古学研究,1~2、8~10,阿佐ヶ谷先史学研究会,1988~2001,
6,4,Stone Sources 石器原産地研究会会誌 ,2、4~5,石器原産地研究会,2003〜2005,
6,4,第四紀研究,1~2.3~4.5~7.8~10.11~12がハードカバー合冊,日本第四紀学会,1957~1974,
6,4,第四紀研究 別冊,,日本第四紀学会,1983,
6,4,日本第四紀学会講演要旨集,18、20,日本第四紀学会,1988~1990,
6,4,人文学と情報処理,1~7、11,勉誠社,1993~1996,
6,4,出土銭貨,3~10(5~8合冊)、14,出土銭貨研究会,1995~2000,
6,4,Bulletin of the international jomon culture conference 国際縄文学協会紀要,2~3,国際縄文学協会,2006~2010,
6,4,JOMON,1~3,国際縄文学協会(National Treasure of Jomon),2011~2013,
6,4,縄文,16、25~26,(特定非営利活動法人)国際縄文学協会,2007~2014,
6,4,縄文時代◎,1、３~9、11~16、18~33　継続中,縄文時代文化研究会,1996~2022,２、10、17
6,5,植生史研究◎,1〜30-2(リテラボ)　継続中,植生史研究会,1986~2022,
6,6,東京人類學會雜誌/人類學雜誌,第1巻〜27(22・23、24・25、26・27一緒)、人類学雜誌28~46(28・29、32~33、35・36、39・40、42に付録一、44に附錄四収録)、43巻附錄七、45巻附錄十一,東京人類學會,1886~,
7,1,人類史研究,8、10~13,人類史研究会,1992~2002,
7,1,人類誌集報,2~6、8~9、11~14(5/2000から人類誌調査グループ)(12は2006と2007、13は2008と2009),漆利用の人類誌・飛騨山峡の人類誌調査グループ/人類誌調査グループ,1997~2015,
7,1,石器時代,1~9(一緒),石器時代文化研究会,1968.1969,
7,1,中央考古,(創刊号),中央考古会,1980,
7,1,中世城郭研究,4,中世城郭研究会,1990,
7,1,たたら研究◎,10~58(10~16、17~21はハードカバー合冊、32・33、36・37一緒)、60(リテラボ)　継続中,たたら研究会,1963~,1~9、59
7,1,玉文化,創刊号,日本玉文化研究会,2004,
7,2,東南アジア考古学会会報,1~8、10~15、18(14から東南アジア考古学？),東南アジア考古学会,1981~1998,
7,2,動物考古学◎,1~11、13~30、日本動物考古学会/31~38、39(リテラボ)　継続中,動物考古学研究会、2014から日本動物考古学会,1993~,12
7,2,東海石器研究,第1号,東海石器研究会,2003,
7,2,東北考古学,第１輯〜2,東北考古学会,1960~1961,
7,2,東邦考古,25,東邦大学附属東邦高等学校 東邦考古学研究会,2001,
7,2,東京考古,8、11,東京考古談話会,1990~1993,
7,2,東洋文庫所属梅原考古資料目録,Ⅰ~Ⅱ,財団法人 東洋文庫,1984~1988,
7,3,東洋陶磁◎,1~54 継続中,東洋陶磁学会,1973-,
7,4,東洋美術,第1号〜25,飛鳥園,1929~1937,
7,4,土曜考古,6、8~11,土曜考古学研究会,1982~1986,
7,4,ドルメン,1~9、第2号第1巻〜12、第3巻1~12、第4巻1~8,岡書院,1932~1935,
7,4,ドルメン,1~7(ハードカバー合冊) 1975~1976に印刷,国書刊行会,1932~1939,
7,5,どるめん,創刊号〜2、9、11~17、19~22、24~30(24・25一緒),どるめん編集室(萩書房)、1976~JICC出版局,1973~1981,
7,5,長野県考古学会員名簿,,長野県考古学会,1979,
7,5,長野県考古学会誌◎,創刊号〜2、4、6〜9、17~18、21~163(合冊とか一緒とか無視) 継続中,長野県考古学会,1964~,
7,7,日本考古学◎,1〜59　継続中,日本考古学協会,1994〜,
8,2,新潟考古,13,新潟県考古学会,2002,
8,2,西アジア考古学,1〜3、6〜10,日本西アジア考古学会,2000〜2009,
8,2,博古研究,創刊号〜第14号、16,博古研究会,1991〜1998,
8,2,ひだびと,第一巻〜第十巻(1979) 第三年第一号から第七年第六号まで,飛騨考古土俗学会著者　歴史図書社発行,1935〜1939,
8,2,物質文化◎,1〜4、5〜10、11〜20、21〜25、26〜35、36〜40、41〜45(ここまでハードカバー)、46.47.49.50(バラバラ)、51〜55、56〜60、61〜65、66〜70、71〜75(ここまでハードカバー)、76〜103 継続中,物質文化研究会,1963〜,48
8,3,寧樂,一〜九、十一〜十二、十五,寧樂発行所,1924〜1932,
8,3,肥後考古学会誌,創刊号,肥後考古学会,1981,
8,3,肥後考古,第四号、七,肥後考古学会,1983〜1990,
8,3,文化財叢書,第一巻〜10、11〜20、21〜30/1〜14、15〜28、29〜40,名古屋市教育委員会,1956〜1966,
8,3,佛教美術,創刊号〜第二十冊,佛教美術社,1924〜1935,
8,4,貿易陶磁研究,No.1〜4、7、9,日本貿易陶磁研究会,1981〜1989,
8,4,貿易陶磁研究・別冊　日本貿易陶磁文献目録Ⅰ1901年〜1984年,,日本貿易陶磁研究会,1985,
8,4,北越考古学,第8号,北越考古学研究会,1997,
8,4,北陸古代土器研究,第10号,北陸古代土器研究会,2003,
8,4,保存科学,,元興寺仏教民俗資料研究所,1971,
8,4,保存科学研究室紀要,[二],元興寺仏教民俗資料研究所　保存科学研究室,1973,
8,4,保存科学,1〜7、8〜11(ハードカバー),東京国立文化財研究所保存科学部,1964〜1973,
8,4,MUSEUM総目録　1〜430号,,東京国立博物館,1987,
8,4,MUSEUM ,94〜105、106〜117、166〜177(ここまでハードカバー)、224、538〜540(バラ),東京国立博物館,1959〜1996,
8,4,埋文写真研究,vol.1、3,埋蔵文化財写真技術研究会,1990〜1992,
8,4,松江考古,創刊号〜5,松江考古学談話会,1978〜1983,
8,4,Mie history ,vol.1、5,三重歴史文化研究会,1990〜1993,
8,5,三河考古,創刊号〜第5号、7〜20、25〜28、30〜31,三河考古刊行会,1988〜2021,6、21〜24
8,5,東三河の横穴式石室　資料編,,三河考古学談話会,1994,
8,5,美濃の考古学,創刊号〜第6号、8、11,美濃の考古学刊行会(一巻だけ「美濃の考古学」刊行会),1996〜2010,
8,5,山美水濃,第3号〜11,美濃考古會,1929〜1935,
8,5,ミネルヴァ,1冊にまとまっている,翰林書房,1936〜1937,
8,5,民具マンスリー,第15巻-第3号(バラ)、16-1〜5・10〜12、17-1〜5、18-6〜12と8号付録、19-10〜12、20-6〜12、21-4〜12、22-1〜8・10〜12、23-6〜12、24-10〜12、25-1〜12、26-1〜5、30-9〜12,神奈川大学日本常民文化研究所,1982〜1998,
8,5,民俗學,1-1〜6、2〜5-1〜6・7〜12,民俗學會,1929〜1933,
8,6,民族學研究,1-1〜6・7〜12(ここまでハードカバー)、3-1、12-3〜4、13-2〜4(ここまで紐でくくる)、14-2〜4、15-1〜2(ここまでバラ)、14〜15、16〜17、18〜19、20〜21(ここまでハードカバー)、60-1(バラ、日本民族学会),日本民族學協會,1943〜1995,
8,6,民族考古,第一号〜二、5〜6,慶應義塾大学文学部民族学考古学研究室,1992〜2002,
8,6,メタ・アーケオロジー,創刊号〜第5号,メタ・アーケオロジー研究会,1999〜2006,
8,6,モンゴロイド,No.1〜6、8〜16,文部省科学研究費補助金「重点領域研究」「先史モンゴロイド集団の拡散と適応戦略」事務局,1989〜1993,
8,6,『モンゴロイド 地球を動く』予稿集,,『モンゴロイド　地球を動く』事務局,1992,
8,6,大和文化研究,第98号〜104、105〜115、116〜126、127〜138(ここまでハードカバー)、139〜143(バラ),大和文化研究会,1966〜1970,
8,6,歴博,1、12、45〜51、53〜61、63〜81、83〜90、93〜104、109、116、119、148、184〜192、194、199,国立歴史民俗博物館,1983〜2016,
8,6,国立歴史民俗博物館　要覧,1998、1999、2007年度,国立歴史民俗博物館,1998〜2007,
9,4,埋蔵文化財ニュース,1〜20(ハードカバー)、21〜32と33〜39と1から50の目録(ファイル)、40〜61、63〜69、71〜74、82、85、87〜102、104〜111、113〜117、119、122〜123、127〜128、135、142〜150、154〜157、162〜165、170〜173,奈良国立文化財研究所埋蔵文化財センター,1975〜,32、62、70、75〜81、82〜84、86、103、112、118、120〜121、124〜126、129〜134、136〜141、151〜153、158〜161、166〜169
9,4,遺跡情報交換標準の研究,,独立行政法人国立文化財機構　奈良文化財研究所　企画調整部　文化財情報研究室,2009,
